ED_num,reported,candidate,party,votes
ED   34,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   34,99.00%,WRITE-IN,&nbsp,5
ED   35,99.00%,Kamala D. Harris Tim Walz,(Democratic),306
ED   35,99.00%,Donald J. Trump JD Vance,(Republican),308
ED   35,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   35,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   35,99.00%,WRITE-IN,&nbsp,6
ED   36,99.00%,Kamala D. Harris Tim Walz,(Democratic),198
ED   36,99.00%,Donald J. Trump JD Vance,(Republican),203
ED   36,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   36,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED   36,99.00%,WRITE-IN,&nbsp,6
ED   37,99.00%,Kamala D. Harris Tim Walz,(Democratic),173
ED   37,99.00%,Donald J. Trump JD Vance,(Republican),119
ED   37,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   37,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   37,99.00%,WRITE-IN,&nbsp,2
ED   38,99.00%,Kamala D. Harris Tim Walz,(Democratic),160
ED   38,99.00%,Donald J. Trump JD Vance,(Republican),144
ED   38,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   38,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   38,99.00%,WRITE-IN,&nbsp,2
ED   39,99.00%,Kamala D. Harris Tim Walz,(Democratic),289
ED   39,99.00%,Donald J. Trump JD Vance,(Republican),259
ED   39,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   39,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   39,99.00%,WRITE-IN,&nbsp,11
ED   40,99.00%,Kamala D. Harris Tim Walz,(Democratic),33
ED   40,99.00%,Donald J. Trump JD Vance,(Republican),28
ED   40,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED   40,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   40,99.00%,WRITE-IN,&nbsp,5
ED   41,99.00%,Kamala D. Harris Tim Walz,(Democratic),392
ED   41,99.00%,Donald J. Trump JD Vance,(Republican),330
ED   41,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   41,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   41,99.00%,WRITE-IN,&nbsp,17
ED   42,99.00%,Kamala D. Harris Tim Walz,(Democratic),195
ED   42,99.00%,Donald J. Trump JD Vance,(Republican),189
ED   42,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   42,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   42,99.00%,WRITE-IN,&nbsp,16
ED   43,99.00%,Kamala D. Harris Tim Walz,(Democratic),156
ED   43,99.00%,Donald J. Trump JD Vance,(Republican),195
ED   43,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   43,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   43,99.00%,WRITE-IN,&nbsp,2
ED   44,99.00%,Kamala D. Harris Tim Walz,(Democratic),247
ED   44,99.00%,Donald J. Trump JD Vance,(Republican),250
ED   44,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   44,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   44,99.00%,WRITE-IN,&nbsp,7
ED   45,99.00%,Kamala D. Harris Tim Walz,(Democratic),272
ED   45,99.00%,Donald J. Trump JD Vance,(Republican),270
ED   45,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   45,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   45,99.00%,WRITE-IN,&nbsp,4
ED   46,99.00%,Kamala D. Harris Tim Walz,(Democratic),374
ED   46,99.00%,Donald J. Trump JD Vance,(Republican),541
ED   46,99.00%,Donald J. Trump JD Vance,(Conservative),28
ED   46,99.00%,Kamala D. Harris Tim Walz,(Working Families),23
ED   46,99.00%,WRITE-IN,&nbsp,15
ED   47,99.00%,Kamala D. Harris Tim Walz,(Democratic),202
ED   47,99.00%,Donald J. Trump JD Vance,(Republican),274
ED   47,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   47,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   47,99.00%,WRITE-IN,&nbsp,8
ED   48,90.91%,Kamala D. Harris Tim Walz,(Democratic),153
ED   48,90.91%,Donald J. Trump JD Vance,(Republican),87
ED   48,90.91%,Donald J. Trump JD Vance,(Conservative),4
ED   48,90.91%,Kamala D. Harris Tim Walz,(Working Families),35
ED   48,90.91%,WRITE-IN,&nbsp,2
ED   49,99.00%,Kamala D. Harris Tim Walz,(Democratic),301
ED   49,99.00%,Donald J. Trump JD Vance,(Republican),248
ED   49,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   49,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   49,99.00%,WRITE-IN,&nbsp,6
ED   50,99.00%,Kamala D. Harris Tim Walz,(Democratic),91
ED   50,99.00%,Donald J. Trump JD Vance,(Republican),65
ED   50,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   50,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   50,99.00%,WRITE-IN,&nbsp,2
ED   51,99.00%,Kamala D. Harris Tim Walz,(Democratic),206
ED   51,99.00%,Donald J. Trump JD Vance,(Republican),430
ED   51,99.00%,Donald J. Trump JD Vance,(Conservative),30
ED   51,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   51,99.00%,WRITE-IN,&nbsp,6
ED   52,99.00%,Kamala D. Harris Tim Walz,(Democratic),92
ED   52,99.00%,Donald J. Trump JD Vance,(Republican),93
ED   52,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   52,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   52,99.00%,WRITE-IN,&nbsp,1
ED   53,99.00%,Kamala D. Harris Tim Walz,(Democratic),20
ED   53,99.00%,Donald J. Trump JD Vance,(Republican),23
ED   53,99.00%,Donald J. Trump JD Vance,(Conservative),1
ED   53,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   53,99.00%,WRITE-IN,&nbsp,0
ED   54,99.00%,Kamala D. Harris Tim Walz,(Democratic),77
ED   54,99.00%,Donald J. Trump JD Vance,(Republican),81
ED   54,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   54,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   54,99.00%,WRITE-IN,&nbsp,0
ED   55,99.00%,Kamala D. Harris Tim Walz,(Democratic),29
ED   55,99.00%,Donald J. Trump JD Vance,(Republican),37
ED   55,99.00%,Donald J. Trump JD Vance,(Conservative),1
ED   55,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   55,99.00%,WRITE-IN,&nbsp,5
Total,,Kamala D. Harris Tim Walz,(Democratic),14078
Total,,Donald J. Trump JD Vance,(Republican),11415
Total,,Donald J. Trump JD Vance,(Conservative),626
Total,,Kamala D. Harris Tim Walz,(Working Families),1404
Total,,WRITE-IN,&nbsp,528
ED    1,88.89%,Kamala D. Harris Tim Walz,(Democratic),309
ED    1,88.89%,Donald J. Trump JD Vance,(Republican),354
ED    1,88.89%,Donald J. Trump JD Vance,(Conservative),22
ED    1,88.89%,Kamala D. Harris Tim Walz,(Working Families),24
ED    1,88.89%,WRITE-IN,&nbsp,6
ED    2,88.89%,Kamala D. Harris Tim Walz,(Democratic),158
ED    2,88.89%,Donald J. Trump JD Vance,(Republican),197
ED    2,88.89%,Donald J. Trump JD Vance,(Conservative),8
ED    2,88.89%,Kamala D. Harris Tim Walz,(Working Families),7
ED    2,88.89%,WRITE-IN,&nbsp,4
ED    3,99.00%,Kamala D. Harris Tim Walz,(Democratic),179
ED    3,99.00%,Donald J. Trump JD Vance,(Republican),169
ED    3,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED    3,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED    3,99.00%,WRITE-IN,&nbsp,3
ED    4,99.00%,Kamala D. Harris Tim Walz,(Democratic),279
ED    4,99.00%,Donald J. Trump JD Vance,(Republican),275
ED    4,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED    4,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED    4,99.00%,WRITE-IN,&nbsp,12
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),200
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),218
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED    5,99.00%,WRITE-IN,&nbsp,8
ED    6,99.00%,Kamala D. Harris Tim Walz,(Democratic),128
ED    6,99.00%,Donald J. Trump JD Vance,(Republican),170
ED    6,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED    6,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED    6,99.00%,WRITE-IN,&nbsp,5
ED    7,99.00%,Kamala D. Harris Tim Walz,(Democratic),321
ED    7,99.00%,Donald J. Trump JD Vance,(Republican),273
ED    7,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED    7,99.00%,Kamala D. Harris Tim Walz,(Working Families),21
ED    7,99.00%,WRITE-IN,&nbsp,22
ED    8,99.00%,Kamala D. Harris Tim Walz,(Democratic),321
ED    8,99.00%,Donald J. Trump JD Vance,(Republican),362
ED    8,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED    8,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED    8,99.00%,WRITE-IN,&nbsp,12
ED    9,99.00%,Kamala D. Harris Tim Walz,(Democratic),361
ED    9,99.00%,Donald J. Trump JD Vance,(Republican),318
ED    9,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED    9,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED    9,99.00%,WRITE-IN,&nbsp,16
ED   10,99.00%,Kamala D. Harris Tim Walz,(Democratic),197
ED   10,99.00%,Donald J. Trump JD Vance,(Republican),190
ED   10,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   10,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   10,99.00%,WRITE-IN,&nbsp,6
ED   11,99.00%,Kamala D. Harris Tim Walz,(Democratic),277
ED   11,99.00%,Donald J. Trump JD Vance,(Republican),213
ED   11,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   11,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   11,99.00%,WRITE-IN,&nbsp,9
ED   12,99.00%,Kamala D. Harris Tim Walz,(Democratic),283
ED   12,99.00%,Donald J. Trump JD Vance,(Republican),321
ED   12,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   12,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   12,99.00%,WRITE-IN,&nbsp,13
ED   13,99.00%,Kamala D. Harris Tim Walz,(Democratic),148
ED   13,99.00%,Donald J. Trump JD Vance,(Republican),125
ED   13,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   13,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   13,99.00%,WRITE-IN,&nbsp,20
ED   14,99.00%,Kamala D. Harris Tim Walz,(Democratic),193
ED   14,99.00%,Donald J. Trump JD Vance,(Republican),103
ED   14,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   14,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   14,99.00%,WRITE-IN,&nbsp,2
ED   15,99.00%,Kamala D. Harris Tim Walz,(Democratic),177
ED   15,99.00%,Donald J. Trump JD Vance,(Republican),210
ED   15,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   15,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   15,99.00%,WRITE-IN,&nbsp,7
ED   16,99.00%,Kamala D. Harris Tim Walz,(Democratic),285
ED   16,99.00%,Donald J. Trump JD Vance,(Republican),261
ED   16,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   16,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   16,99.00%,WRITE-IN,&nbsp,11
ED   17,99.00%,Kamala D. Harris Tim Walz,(Democratic),170
ED   17,99.00%,Donald J. Trump JD Vance,(Republican),140
ED   17,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   17,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   17,99.00%,WRITE-IN,&nbsp,3
ED   18,99.00%,Kamala D. Harris Tim Walz,(Democratic),220
ED   18,99.00%,Donald J. Trump JD Vance,(Republican),284
ED   18,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   18,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   18,99.00%,WRITE-IN,&nbsp,9
ED   19,99.00%,Kamala D. Harris Tim Walz,(Democratic),241
ED   19,99.00%,Donald J. Trump JD Vance,(Republican),253
ED   19,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   19,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   19,99.00%,WRITE-IN,&nbsp,9
ED   20,99.00%,Kamala D. Harris Tim Walz,(Democratic),343
ED   20,99.00%,Donald J. Trump JD Vance,(Republican),328
ED   20,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   20,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   20,99.00%,WRITE-IN,&nbsp,7
ED   21,99.00%,Kamala D. Harris Tim Walz,(Democratic),342
ED   21,99.00%,Donald J. Trump JD Vance,(Republican),262
ED   21,99.00%,Donald J. Trump JD Vance,(Conservative),17
ED   21,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   21,99.00%,WRITE-IN,&nbsp,4
ED   22,99.00%,Kamala D. Harris Tim Walz,(Democratic),141
ED   22,99.00%,Donald J. Trump JD Vance,(Republican),142
ED   22,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   22,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   22,99.00%,WRITE-IN,&nbsp,5
ED   23,99.00%,Kamala D. Harris Tim Walz,(Democratic),368
ED   23,99.00%,Donald J. Trump JD Vance,(Republican),308
ED   23,99.00%,Donald J. Trump JD Vance,(Conservative),23
ED   23,99.00%,Kamala D. Harris Tim Walz,(Working Families),26
ED   23,99.00%,WRITE-IN,&nbsp,8
ED   24,99.00%,Kamala D. Harris Tim Walz,(Democratic),228
ED   24,99.00%,Donald J. Trump JD Vance,(Republican),183
ED   24,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   24,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   24,99.00%,WRITE-IN,&nbsp,12
ED   25,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   25,99.00%,Donald J. Trump JD Vance,(Republican),1
ED   25,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   25,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   25,99.00%,WRITE-IN,&nbsp,0
ED   26,99.00%,Kamala D. Harris Tim Walz,(Democratic),419
ED   26,99.00%,Donald J. Trump JD Vance,(Republican),264
ED   26,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   26,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   26,99.00%,WRITE-IN,&nbsp,5
ED   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),374
ED   27,99.00%,Donald J. Trump JD Vance,(Republican),416
ED   27,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   27,99.00%,WRITE-IN,&nbsp,8
ED   28,99.00%,Kamala D. Harris Tim Walz,(Democratic),485
ED   28,99.00%,Donald J. Trump JD Vance,(Republican),481
ED   28,99.00%,Donald J. Trump JD Vance,(Conservative),22
ED   28,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   28,99.00%,WRITE-IN,&nbsp,7
ED   29,99.00%,Kamala D. Harris Tim Walz,(Democratic),353
ED   29,99.00%,Donald J. Trump JD Vance,(Republican),298
ED   29,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED   29,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   29,99.00%,WRITE-IN,&nbsp,15
ED   30,99.00%,Kamala D. Harris Tim Walz,(Democratic),349
ED   30,99.00%,Donald J. Trump JD Vance,(Republican),198
ED   30,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   30,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   30,99.00%,WRITE-IN,&nbsp,14
ED   31,99.00%,Kamala D. Harris Tim Walz,(Democratic),270
ED   31,99.00%,Donald J. Trump JD Vance,(Republican),213
ED   31,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   31,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   31,99.00%,WRITE-IN,&nbsp,2
ED   32,99.00%,Kamala D. Harris Tim Walz,(Democratic),166
ED   32,99.00%,Donald J. Trump JD Vance,(Republican),172
ED   32,99.00%,Donald J. Trump JD Vance,(Conservative),17
ED   32,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   32,99.00%,WRITE-IN,&nbsp,6
ED   33,99.00%,Kamala D. Harris Tim Walz,(Democratic),283
ED   33,99.00%,Donald J. Trump JD Vance,(Republican),240
ED   33,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED   33,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   33,99.00%,WRITE-IN,&nbsp,8
ED   34,99.00%,Kamala D. Harris Tim Walz,(Democratic),194
ED   34,99.00%,Donald J. Trump JD Vance,(Republican),175
ED   34,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   34,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   34,99.00%,WRITE-IN,&nbsp,5
ED   35,99.00%,Kamala D. Harris Tim Walz,(Democratic),83
ED   35,99.00%,Donald J. Trump JD Vance,(Republican),136
ED   35,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   35,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   35,99.00%,WRITE-IN,&nbsp,3
ED   36,99.00%,Kamala D. Harris Tim Walz,(Democratic),28
ED   36,99.00%,Donald J. Trump JD Vance,(Republican),21
ED   36,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   36,99.00%,Kamala D. Harris Tim Walz,(Working Families),1
ED   36,99.00%,WRITE-IN,&nbsp,2
ED   37,99.00%,Kamala D. Harris Tim Walz,(Democratic),312
ED   37,99.00%,Donald J. Trump JD Vance,(Republican),522
ED   37,99.00%,Donald J. Trump JD Vance,(Conservative),34
ED   37,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   37,99.00%,WRITE-IN,&nbsp,10
ED   38,99.00%,Kamala D. Harris Tim Walz,(Democratic),200
ED   38,99.00%,Donald J. Trump JD Vance,(Republican),373
ED   38,99.00%,Donald J. Trump JD Vance,(Conservative),25
ED   38,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   38,99.00%,WRITE-IN,&nbsp,10
ED   39,99.00%,Kamala D. Harris Tim Walz,(Democratic),144
ED   39,99.00%,Donald J. Trump JD Vance,(Republican),210
ED   39,99.00%,Donald J. Trump JD Vance,(Conservative),25
ED   39,99.00%,Kamala D. Harris Tim Walz,(Working Families),6
ED   39,99.00%,WRITE-IN,&nbsp,2
ED   40,99.00%,Kamala D. Harris Tim Walz,(Democratic),198
ED   40,99.00%,Donald J. Trump JD Vance,(Republican),412
ED   40,99.00%,Donald J. Trump JD Vance,(Conservative),22
ED   40,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   40,99.00%,WRITE-IN,&nbsp,10
ED   41,90.91%,Kamala D. Harris Tim Walz,(Democratic),257
ED   41,90.91%,Donald J. Trump JD Vance,(Republican),466
ED   41,90.91%,Donald J. Trump JD Vance,(Conservative),31
ED   41,90.91%,Kamala D. Harris Tim Walz,(Working Families),14
ED   41,90.91%,WRITE-IN,&nbsp,6
ED   42,99.00%,Kamala D. Harris Tim Walz,(Democratic),10
ED   42,99.00%,Donald J. Trump JD Vance,(Republican),6
ED   42,99.00%,Donald J. Trump JD Vance,(Conservative),1
ED   42,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   42,99.00%,WRITE-IN,&nbsp,4
ED   43,99.00%,Kamala D. Harris Tim Walz,(Democratic),278
ED   43,99.00%,Donald J. Trump JD Vance,(Republican),305
ED   43,99.00%,Donald J. Trump JD Vance,(Conservative),26
ED   43,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   43,99.00%,WRITE-IN,&nbsp,9
ED   44,99.00%,Kamala D. Harris Tim Walz,(Democratic),129
ED   44,99.00%,Donald J. Trump JD Vance,(Republican),129
ED   44,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   44,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   44,99.00%,WRITE-IN,&nbsp,5
ED   45,99.00%,Kamala D. Harris Tim Walz,(Democratic),230
ED   45,99.00%,Donald J. Trump JD Vance,(Republican),281
ED   45,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   45,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   45,99.00%,WRITE-IN,&nbsp,7
ED   46,99.00%,Kamala D. Harris Tim Walz,(Democratic),134
ED   46,99.00%,Donald J. Trump JD Vance,(Republican),138
ED   46,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   46,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   46,99.00%,WRITE-IN,&nbsp,5
ED   47,90.91%,Kamala D. Harris Tim Walz,(Democratic),274
ED   47,90.91%,Donald J. Trump JD Vance,(Republican),638
ED   47,90.91%,Donald J. Trump JD Vance,(Conservative),37
ED   47,90.91%,Kamala D. Harris Tim Walz,(Working Families),13
ED   47,90.91%,WRITE-IN,&nbsp,8
ED   48,99.00%,Kamala D. Harris Tim Walz,(Democratic),58
ED   48,99.00%,Donald J. Trump JD Vance,(Republican),75
ED   48,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   48,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   48,99.00%,WRITE-IN,&nbsp,0
ED   49,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   49,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   49,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   49,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   49,99.00%,WRITE-IN,&nbsp,0
Total,,Kamala D. Harris Tim Walz,(Democratic),11097
Total,,Donald J. Trump JD Vance,(Republican),11829
Total,,Donald J. Trump JD Vance,(Conservative),656
Total,,Kamala D. Harris Tim Walz,(Working Families),515
Total,,WRITE-IN,&nbsp,364
ED    1,99.00%,Kamala D. Harris Tim Walz,(Democratic),746
ED    1,99.00%,Donald J. Trump JD Vance,(Republican),54
ED    1,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED    1,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED    1,99.00%,WRITE-IN,&nbsp,4
ED    2,99.00%,Kamala D. Harris Tim Walz,(Democratic),660
ED    2,99.00%,Donald J. Trump JD Vance,(Republican),49
ED    2,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED    2,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED    2,99.00%,WRITE-IN,&nbsp,5
ED    3,81.82%,Kamala D. Harris Tim Walz,(Democratic),433
ED    3,81.82%,Donald J. Trump JD Vance,(Republican),27
ED    3,81.82%,Donald J. Trump JD Vance,(Conservative),2
ED    3,81.82%,Kamala D. Harris Tim Walz,(Working Families),6
ED    3,81.82%,WRITE-IN,&nbsp,3
ED    4,92.31%,Kamala D. Harris Tim Walz,(Democratic),683
ED    4,92.31%,Donald J. Trump JD Vance,(Republican),43
ED    4,92.31%,Donald J. Trump JD Vance,(Conservative),5
ED    4,92.31%,Kamala D. Harris Tim Walz,(Working Families),34
ED    4,92.31%,WRITE-IN,&nbsp,12
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),527
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),37
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED    5,99.00%,WRITE-IN,&nbsp,18
ED    6,99.00%,Kamala D. Harris Tim Walz,(Democratic),579
ED    6,99.00%,Donald J. Trump JD Vance,(Republican),46
ED    6,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED    6,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED    6,99.00%,WRITE-IN,&nbsp,6
ED    7,99.00%,Kamala D. Harris Tim Walz,(Democratic),677
ED    7,99.00%,Donald J. Trump JD Vance,(Republican),67
ED    7,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED    7,99.00%,Kamala D. Harris Tim Walz,(Working Families),22
ED    7,99.00%,WRITE-IN,&nbsp,9
ED    8,99.00%,Kamala D. Harris Tim Walz,(Democratic),569
ED    8,99.00%,Donald J. Trump JD Vance,(Republican),47
ED    8,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED    8,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED    8,99.00%,WRITE-IN,&nbsp,5
ED    9,81.82%,Kamala D. Harris Tim Walz,(Democratic),635
ED    9,81.82%,Donald J. Trump JD Vance,(Republican),27
ED    9,81.82%,Donald J. Trump JD Vance,(Conservative),7
ED    9,81.82%,Kamala D. Harris Tim Walz,(Working Families),14
ED    9,81.82%,WRITE-IN,&nbsp,1
ED   10,99.00%,Kamala D. Harris Tim Walz,(Democratic),472
ED   10,99.00%,Donald J. Trump JD Vance,(Republican),36
ED   10,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   10,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   10,99.00%,WRITE-IN,&nbsp,8
ED   11,81.82%,Kamala D. Harris Tim Walz,(Democratic),555
ED   11,81.82%,Donald J. Trump JD Vance,(Republican),40
ED   11,81.82%,Donald J. Trump JD Vance,(Conservative),3
ED   11,81.82%,Kamala D. Harris Tim Walz,(Working Families),14
ED   11,81.82%,WRITE-IN,&nbsp,6
ED   12,92.31%,Kamala D. Harris Tim Walz,(Democratic),239
ED   12,92.31%,Donald J. Trump JD Vance,(Republican),202
ED   12,92.31%,Donald J. Trump JD Vance,(Conservative),13
ED   12,92.31%,Kamala D. Harris Tim Walz,(Working Families),8
ED   12,92.31%,WRITE-IN,&nbsp,14
ED   13,92.31%,Kamala D. Harris Tim Walz,(Democratic),350
ED   13,92.31%,Donald J. Trump JD Vance,(Republican),67
ED   13,92.31%,Donald J. Trump JD Vance,(Conservative),11
ED   13,92.31%,Kamala D. Harris Tim Walz,(Working Families),15
ED   13,92.31%,WRITE-IN,&nbsp,3
ED   14,99.00%,Kamala D. Harris Tim Walz,(Democratic),98
ED   14,99.00%,Donald J. Trump JD Vance,(Republican),601
ED   14,99.00%,Donald J. Trump JD Vance,(Conservative),27
ED   14,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   14,99.00%,WRITE-IN,&nbsp,5
ED   15,99.00%,Kamala D. Harris Tim Walz,(Democratic),123
ED   15,99.00%,Donald J. Trump JD Vance,(Republican),121
ED   15,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   15,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   15,99.00%,WRITE-IN,&nbsp,1
ED   16,99.00%,Kamala D. Harris Tim Walz,(Democratic),287
ED   16,99.00%,Donald J. Trump JD Vance,(Republican),169
ED   16,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   16,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   16,99.00%,WRITE-IN,&nbsp,9
ED   17,99.00%,Kamala D. Harris Tim Walz,(Democratic),466
ED   17,99.00%,Donald J. Trump JD Vance,(Republican),81
ED   17,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   17,99.00%,Kamala D. Harris Tim Walz,(Working Families),6
ED   17,99.00%,WRITE-IN,&nbsp,25
